,standard_dGr_prime,SD
ACGBGBSIDEtl,-159.02389489452398,1.4900581845722627e-05
ACGPID,11.381770639029984,4.281613349914551
ACGSm,-4.083983739579253,7.6788649559021
ACHEe,-20.095166992915182,1.5006966590881348
ACHtn,-6.103515488575795e-07,4.272460955689894e-06
ACHVESSEC,-4.891596802183944,0.378083199262619
ACITL,9.18506000454001,0.4605155289173126
ACN13ACNGALGBSIDEte,,
ACN13ACNGALGBSIDEtg,,
ACN23ACNGALGBSIDEte,,
ACN23ACNGALGBSIDEtg,,
ACNACNGAL14ACGLCGALGLUSIDEte,,
ACNACNGAL14ACGLCGALGLUSIDEtg,,
ACNACNGALGBSIDEte,,
ACNACNGALGBSIDEtg,,
ACNAM9PL,-58.43402835563165,1.568389892578125
ACNAM9PL2,-61.71322999415704,1.2707536220550537
ACNAMlt,-180.15604633464403,1.0553964784776326e-05
ACNAMPH,-10.941126731191499,0.4586283266544342
ACNAMtn,-6.103515488575795e-07,1.0553964784776326e-05
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-131.32577407830613,7.790295785525814e-05
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,574.0941852001014,6.792201020289212e-05
ACNMLr,6.138972325164314,1.3819671869277954
ACOAD10m,25.302606397115994,13.603510856628418
ACOAD1fm,30.659365199931983,12.9310884475708
ACOAD8m,13.015083621382075,13.828241348266602
ACOAD9m,31.783473764978112,13.481528282165527
ACOAHi,-29.286793674873927,0.6617750525474548
ACOAO7p,-81.52731323242188,5.504184722900391
ACODA,-27.15393426672412,43.32899856567383
ACONTm,7.773114586058341,0.2903650403022766
ACOX22x,-196.57957458496094,13.835790634155273
ACOX2x,-382.6488342285156,13.478653907775879
ACP1_FMN_,-10.798421948173576,0.45861494541168213
ACRNtm,77.5888793844735,6.823937837907579e-06
ACS2,-8.09295716506665,0.785442590713501
ACSm,-7.83869070231674,0.3818947970867157
ACSOMT,-5.947314035983611,34.675437927246094
ACSRTNMT,-6.005152301867401,34.67544174194336
ACt2m,18.260417646467875,5.89194814892835e-06
ACt2r,-4.56596908118465,7.150497367547359e-06
ACtg,-14.58052476568752,7.756509148748592e-06
ACTLMO,-446.5901672712117,8.288002967834473
ACTNMO,-393.6302370881287,7.8056254386901855
ADA,-47.59484581812209,69.48611450195312
ADAe,-48.73544184306176,69.48611450195312
ADCim,-16.455701387161035,2.4954354763031006
ADEt,-5.701640886529868,7.4502909228613134e-06
ADEtl,48.48684650641377,6.817111625423422e-06
ADHAPtx,-7.012711715415824,1.2145844266342465e-05
ADK1m,0.2483894317477109,0.14452877640724182
ADK3,-1.3859279638349697,0.14454182982444763
ADK3m,0.24825467944549473,0.1445441097021103
ADKd,-1.3880457384322433,0.14455106854438782
ADMDC,-18.724458683533026,42.10665512084961
ADNCYC,2.0881029838987395,1.8783533573150635
ADNK1m,-15.106697761224424,0.36129698157310486
ADNt,-14.8347480032867,6.8171098064340185e-06
ADNt4,-16.58837980595717,6.8171098064340185e-06
ADNtl,126.31963349322473,3.0364608392119408e-06
ADNtm,59.33568837249368,6.762243174307514e-06
ADPGLC,-32.74990426383781,0.7818182110786438
ADPMAN,-32.74990044914055,0.7818176746368408
ADPRDPm,-32.29983590513268,0.7817936539649963
ADPRIBt,-18.17361359910468,1.2145844266342465e-05
ADPtx,-17.940856370765584,0.0
ADRNCOAtx,-78.11339785203202,5.982145739835687e-05
ADRNCPT1,-1.9424651004739815,1.8221975564956665
ADRNCPT2,1.9472888018067351,1.8221724033355713
ADRNCRNt,223.6360466897745,4.386045839055441e-05
ADRNLPVESSEC,-7.233630390077316,0.3780842423439026
ADRNt,-37.04525020495751,2.429168853268493e-05
ADSELK,-2.014939546149101,1.7699201107025146
ADSK,-2.014927380774594,1.7699189186096191
ADSL1,10.626160682599792,1.139453411102295
ADSL2,23.545076504111236,9.860673904418945
AFLATOXINte,-13.691870104073118,2.287546749357716e-06
AG13T10g,,
AG13T11g,,
AG13T12g,,
AG13T13g,,
AG13T14g,,
AG13T15g,,
AG13T16g,,
AG13T17g,,
AG13T18g,,
AG13T1g,,
AG13T2g,,
AG13T3g,,
AG13T4g,,
AG13T5g,,
AG13T6g,,
AG13T7g,,
AG13T8g,,
AG13T9g,,
AGLPC,,
AGLPED,,
AGLPET,,
AGLPH,-11.471946812465902,0.5467553734779358
AGLPR,,
AGLPT,,
AGMTm,6.836125061936492,37.49050521850586
AGPAT1,,
AGPex,,
AGPRim,-13.090982484822064,7.67596435546875
AGPSx,,
AGTim,-15.257134207743736,1.2812974452972412
AGTix,-15.205483436584473,1.281299114227295
AHANDROSTANGLCte,16.174783890239503,0.3780820369720459
AHANDROSTANGLCtr,-6.103515488575795e-07,3.05114735965617e-05
AHCYStn,-1.220703097715159e-06,1.4261867363529745e-05
AHCYStr,-3.0517577442878974e-07,1.0116934390680399e-05
AHEXASE2ly,,
AHEXASEly,,
AIRCr,-3.9891893160101723,3.174607515335083
AKGDm,-32.11697386712848,2.1677708625793457
AKGMALtm,0.016730509003103577,1.7263348127016798e-05
AKGt4_3,-4.036202112201736,1.3634222341352142e-05
AKGtp,-6.880313182237108,1.4749812180525623e-05
AKR1C1,-19.948884134219902,8.322614669799805
AKR1C41,-8.997695505978605,2.227329730987549
AKR1C42,-8.997717438096785,2.2273383140563965
AKR1D,-57.69157324287614,9.172513961791992
AKR1D2,-57.691557992980066,9.172501564025879
ALAASNNaEx,-1.5759328476337515,9.10938160814112e-06
ALACYSNaEx,-1.911729324321751,9.87233124760678e-06
ALADGLNexR,2.606123276389738,8.961210369307082e-06
ALADGLYexR,-2.2874782719235007,1.239629909832729e-05
ALAGLNexR,2.606124268211019,9.212000804836862e-06
ALAGLNNaEx,0.8524924655405499,9.212000804836862e-06
ALAGLYexR,-2.287477203808262,1.2444100320863072e-05
ALASERNaEx,-1.7756203187016055,1.0344513611926232e-05
ALASm,0.4036791392125565,3.4679160118103027
ALAt2rL,75.74341797604889,1.4329457371786702e-05
ALAt4,-9.732889228080523,8.915625585359521e-06
ALATA_L,2.6268927204402814,0.4598369002342224
ALATHRNaEx,0.5107435897256956,9.976726687455084e-06
ALAtN1,-7.450981861769588,8.915625585359521e-06
ALCD21_D,29.246342153488385,1.0031661987304688
ALCD21_L,29.246342153488385,1.0031663179397583
ALCD22_D,6.945861067230743,3.0792336463928223
ALCD22_L,6.945859636719268,3.0792338848114014
ALCD2if,19.89571243853798,0.7791906595230103
ALCD2yf,30.688313608322918,7.511380195617676
ALDD20x,-41.889001065639455,2.873049259185791
ALDD20xm,-41.87923210470946,2.8730475902557373
ALDD21,-39.38130119824737,2.177846908569336
ALDD2xm,-45.58721609036649,1.2193515300750732
ALDD2y,-34.80022463902057,7.599895000457764
ALDSTRNte,31.947696355122442,2.1143197955098003e-05
ALDSTRNtm,127.7907810679937,1.914598215080332e-05
ALKP,-13.269744720883878,1.0505270957946777
ALOX12,-148.19680308436747,13.854724884033203
ALOX12R,-148.19680308436747,13.854727745056152
ALOX15,-142.98710415013338,13.556355476379395
ALOX5,-143.29594813705862,13.52881908416748
ALOX52,-205.66825634482544,12.856569290161133
ALR2,-33.385417299853174,8.209113121032715
ALR3,-24.391980154204134,7.597571849822998
AMACR2p,-180.29881286621094,4.6226654052734375
AMACR2r,-180.37095615736604,4.622672080993652
AMACRp,3.662109293145477e-06,6.772977212676778e-05
AMACRr,-2.7465821403893642e-06,4.709901986643672e-05
AMCOXO,-111.83904525156206,70.90632629394531
AMETr,-6.103515488575795e-07,2.1998075681040064e-05
AMETt2m,-1.2775193177276947,2.2417440050048754e-05
AMETtn,-3.051757857974735e-06,1.5857398466323502e-05
AMPDA,-47.5698102884143,69.4861068725586
AMPTASECGe,-24.595655093510402,7.505453586578369
AMPtp,-16.15470513994517,8.544921911379788e-06
AMPtr,1.220703097715159e-06,1.2145843356847763e-05
AMY1e,-105.34366304871784,6.374178409576416
AMY2e,,
ANDRSTRNGLCte,16.174780075542238,0.3780854344367981
ANDRSTRNGLCtr,-2.441406195430318e-06,2.8523731089080684e-05
ANDRSTRNte,-34.229671407321156,3.6437533708522096e-05
ANDRSTRNtr,3.662109293145477e-06,2.7048970878240652e-05
ANTIPYRENEte,-13.691869596864695,6.0729216784238815e-06
AOBUTDsm,-17.14778450348092,40.74216842651367
AP4AH1,-34.12950150469856,0.7678822875022888
APAT2rm,4.4313934524523475,1.6820954084396362
APNNOXte,-18.255829145112138,1.1960400115640368e-05
APOCF,1.8560475256392035,42.910579681396484
APOCFm,6.491905827286828,42.910579681396484
APOC_LYS_BTNP,47.23356072778404,18.350650787353516
APOC_LYS_BTNPm,43.55062864022682,18.350650787353516
APPNNte,-18.255826093350947,6.072922133171232e-06
APRTO2,-126.70730747253599,42.08033752441406
AQCOBALt,-97.62165066040312,9.71667468547821e-05
ARAB_Lt,-11.409774207759655,0.0
ARABR,-27.166548140544926,7.503378868103027
ARACHCOAtx,-82.67353365105647,4.54742657893803e-05
ARACHCPT1,-1.9386501172798063,1.8221724033355713
ARACHCPT2,1.9353893674365281,1.8221473693847656
ARACHCRNt,241.8918721727739,3.4440272429492325e-05
ARACHDCOAtx,-73.55115321081529,4.75357192044612e-05
ARACHDt2,-32.47990870399825,2.441406286379788e-05
ARACHDtr,1.220703097715159e-06,1.2145844266342465e-05
ARACHt,-41.609168212951545,3.8524736737599596e-05
ARGDCm,-31.80907926381515,47.37250900268555
