,transformed standard dGr,SD
89,-19.884249545193825,1.9454090006480491
90,-27.940903623002782,1.4430114519027957
91,-15.97381111816685,0.0
92,-49.73139155105429,1.0896565729574634
93,-40.43951603862905,1.106737805880533
94,41.07584193570523,0.0
95,13.691870027776927,0.0
96,54.76748011110732,0.0
97,0.0,0.0
98,-19.387591441806197,0.0
99,-4.563956675925624,0.0
100,-39.42135001823343,100000.0
101,-4.81857149047687,0.0
102,-21.83373146661148,0.3042778553577672
103,11.254767783708076,0.3042778553577672
104,0.0,0.0
105,33.08868590046063,0.0
106,-245.68503466430275,70714.2029725181
107,-34.22967506944224,0.0
108,0.0,0.0
109,38.68713945188148,0.0
110,,
111,-21.67928783691991,0.0
112,-20.151091763341128,3.088253269746168
113,,
114,-171.73719155260846,4.295883878873183
115,-50.02011059246064,1.0896565729574632
116,-93.4740345358797,4.578266391334068
117,-327.1931075191096,6.594028630292731
118,-17.299137025204914,0.3042778553577672
119,-20.10675040892397,3.088253269746168
120,-206.24758416427528,6.89606576030725
121,-26.266028551419826,0.0
122,-23.984050213456957,0.0
123,,
124,,
125,,
126,,
127,31.94769673147925,0.0
128,0.0,0.0
129,,
130,,
131,0.0,0.0
132,-630.4104644666695,0.0
133,-296.6574224668384,0.0
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,-94.6036156984654,4.8029625384715375
143,-34.80716147174911,0.0
144,-53.15860091044584,2.874805389260044
145,-0.7185952885375286,2.931870753584047
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,6.328863332465119,1.465935376870765
156,28.80526642095549,2.579884564447472
157,13.69186235475263,0.0
158,87.52812689970347,0.0
159,-10.494291292437367,0.0
160,-30.775159626315144,2.8273432234122056
161,24.885661871097227,0.8618551221849551
162,24.88180819894524,0.8618551221849551
163,22.820499775509436,0.0
164,-29.74114201768816,1.3361144525852144
165,-29.74114201768748,1.3361144525852142
166,-29.74114201768816,1.3361144525852149
167,-29.7411420176868,1.3361144525852144
168,-31.968007912846588,1.8674400424499136
169,-29.74114201768816,1.3361144525852144
170,-5.70544365488621,0.0
171,-18.25582670370244,0.0
172,0.0,0.0
173,4.563956675925567,0.0
174,-13.125503698322518,1.4948897801883916
175,-164.97364181059902,0.0
176,1.724300215713356,2.931870753692135
177,0.0,0.0
178,0.0,0.0
179,-6.8459350138884645,0.0
180,27.38374005555366,0.0
181,,
182,,
183,,
184,,
185,,
186,,
187,-6.884426887252175,1.3852905427406703
188,-8.08349081666671,1.9938425703703704
189,73.18811604933956,0.0
190,147.85298365709554,0.0
191,-25.517493485903515,3.763290543910908
192,-13.703060940780802,2.584733931252212
193,4.642655534725577,2.931870753644447
194,147.85298365709554,0.0
195,,
196,,
197,,
198,-28.81466621663793,3.384861906542873
199,-24.46195016116349,1.0366936894447043
200,0.0,0.0
201,-12.706082782226872,0.3042778553577672
202,4.853370179720386,0.4331779365377
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,-65.74545303223215,3.139160869086337
212,,
213,-175.97404723116313,0.0
214,-11.52755680177529,1.2467083431376365
215,0.0,0.0
216,,
217,,
218,6.932544236088006,1.3701041063745256
219,40.44767967150733,3.400463282054353
220,38.32894411849384,3.910745436797861
221,40.4476796715071,3.400463282054353
222,42.97271592867742,3.1512204098965038
223,-33.67477548806728,0.5188299659881789
224,-70.94483670770751,4.602460716425886
225,-6.989410605781245,3.4970619114136614
226,5.136125305457711,0.3303691001063549
227,-203.42091182387597,3.7135209218051934
228,-379.4831268985481,4.739572482458341
229,-17.80711944516031,2.917779103259714
230,77.58888119918697,0.0
231,5.349704389253844,2.931870753692135
232,-4.89671646218585,0.4044620754885452
233,-8.765001464947773,100004.28623930425
234,-8.775938336733361,100004.28623930425
235,13.694241146892026,0.0
236,-3.424007076656366,0.0
237,-14.564674868828275,0.0
238,-436.59160360241503,3.641365378425608
239,-370.8954880161458,3.723132481217997
240,-21.944419659488005,0.7258524989652704
241,-20.83485766732963,0.7258524989652704
242,-9.59080745117194,4.111675300066376
243,-5.698618461459603,0.0
244,48.48385311713804,0.0
245,,
246,-1.4873977701370222,0.1597905348378931
247,2.055383183027857,1.3349523055461254
