,standard_dGr_prime,SD
MAR07870,1.3885999971515837,0.14455635845661163
MAR07871,1.3885785884521233,0.14454984664916992
MAR07872,1.388589555706762,0.14454732835292816
MAR07873,1.3886123442772096,0.14455002546310425
MAR07874,1.3886161589744752,0.14454539120197296
MAR07875,-0.23105184488764507,0.14453743398189545
MAR07876,1.3886435484548265,0.14453616738319397
MAR07878,0.00014908893204079732,0.0002162367891287431
MAR07879,-35.26190624184369,0.7679166793823242
MAR07880,-10.704885582984945,0.45862287282943726
MAR07881,0.0001381026039339872,0.00021835237566847354
MAR07882,4.0852657967604955e-05,0.00020679662702605128
MAR07883,6.963907139834191e-06,0.0002475921646691859
MAR07884,4.566874159905865e-05,0.0002469202154316008
MAR07885,4.779506858199056e-05,0.00022382182942237705
MAR07886,-5.032129280380104e-06,0.00023139006225392222
MAR07887,2.012042146048998e-05,0.00022242269187700003
MAR07888,2.500529456028744e-05,0.00019607394642662257
MAR07889,-1.9734996186571152e-05,0.00024058694543782622
MAR07890,0.0001483026217101724,0.0002216542634414509
MAR07891,5.025434467142986e-05,0.00020636380941141397
MAR07892,4.357037716573586e-05,0.00022456956503447145
MAR07893,1.8160044120918428e-05,0.00020764872897416353
MAR07894,0.0013308812134198433,0.00021881252177990973
MAR07895,-8.505532488811696e-05,0.0002095773525070399
MAR08083,-37.35949133338517,2.3685715198516846
MAR08085,-38.54385630528953,2.368570566177368
MAR08087,-38.556619644914754,2.3685572147369385
MAR08443,-32.74989663444328,0.7817893028259277
MAR08444,-32.74989663444328,0.7817868590354919
MAR08445,-15.112103153844256,0.36132264137268066
MAR08446,-21.07895491167231,0.8416641354560852
MAR08448,1.384317541842119,0.14454948902130127
MAR08449,1.384317541842119,0.14454644918441772
MAR08450,1.3864269332826105,0.14456264674663544
MAR08451,1.3864317016541925,0.1445612907409668
MAR08452,1.3863686203438768,0.1445644199848175
MAR08453,1.386380779691411,0.14456142485141754
MAR08454,1.3863931284848654,0.1445695459842682
MAR08455,1.3863869296018088,0.14456656575202942
MAR08456,1.3863768585195082,0.14453503489494324
MAR08457,1.3863720901479262,0.14453959465026855
MAR08458,1.384325619417563,0.14452917873859406
MAR08459,1.3864354876952127,0.14454039931297302
MAR08460,1.3863741218415448,0.14456351101398468
MAR08461,1.3863926990784101,0.1445634961128235
MAR08462,1.3863950832642011,0.14455784857273102
MAR08463,1.3863655387726972,0.14456412196159363
MAR08464,1.3842883144280798,0.14453160762786865
MAR08465,1.3842861880731725,0.1445387601852417
MAR08466,1.3842861880731725,0.1445378214120865
MAR08467,1.3842994151686163,0.1445016860961914
MAR08468,1.3842920241926642,0.14451053738594055
MAR08469,1.3843161619711317,0.14453797042369843
MAR08470,1.3843040026235975,0.14453646540641785
MAR08471,1.3842692424837075,0.14454378187656403
MAR08472,1.3842790176454507,0.1445472538471222
MAR08473,-20.404936407354086,0.6275741457939148
MAR08474,-50.544384139933875,0.7428247332572937
MAR08477,15.106534053237738,0.3613143563270569
MAR08478,15.336626592715664,0.36132878065109253
MAR08479,15.33657821553886,0.36132970452308655
MAR08480,-21.077258651378024,0.8416686058044434
MAR08481,-0.2447214038767811,0.14455945789813995
MAR08482,-17.25425271551329,1.2341276407241821
MAR08483,-35.265043362041325,0.7678958177566528
MAR08484,-11.375690714825737,5.4636311531066895
MAR08485,-24.83731513024739,0.37867435812950134
MAR08486,9.628052707268225,0.5612284541130066
MAR08487,-10.44383992948774,0.45862913131713867
MAR08488,-35.25664970076895,0.7679080367088318
MAR08489,-35.26397460062998,0.7679101228713989
